Parent,Total Testfiles,Total Deleted Testfiles,Deleted Testfiles,Total Preserved Testfiles,Computed Final Budget,Algorithm_FAST++_Total Detected Deleted Testfiles,Algorithm_FAST++_Total Failed To Detect Deleted Testfiles,Algorithm_FAST++_Detected Testfiles Line No,Algorithm_FAST++_Detected Testfiles,Algorithm_FAST++_Failed Detected Testfiles,Algorithm_FAST++_False Detected Testfiles Line No,Algorithm_FAST++_False Detected Testfiles,Algorithm_FAST++_Total Detected Deleted And Obsolete Tests,Algorithm_FAST++_Total Detected Deleted And Redundant Tests,Algorithm_FAST++_Max_repetition,Algorithm_FAST++_Total execution time,Algorithm_FAST++_Total preparation time,Algorithm_FAST++_Optimal execution time,Algorithm_FAST++_Optimal preparation time,Algorithm_FAST-all_Total Detected Deleted Testfiles,Algorithm_FAST-all_Total Failed To Detect Deleted Testfiles,Algorithm_FAST-all_Detected Testfiles Line No,Algorithm_FAST-all_Detected Testfiles,Algorithm_FAST-all_Failed Detected Testfiles,Algorithm_FAST-all_False Detected Testfiles Line No,Algorithm_FAST-all_False Detected Testfiles,Algorithm_FAST-all_Total Detected Deleted And Obsolete Tests,Algorithm_FAST-all_Total Detected Deleted And Redundant Tests,Algorithm_FAST-all_Max_repetition,Algorithm_FAST-all_Total execution time,Algorithm_FAST-all_Total preparation time,Algorithm_FAST-all_Optimal execution time,Algorithm_FAST-all_Optimal preparation time,Algorithm_FAST-CS_Total Detected Deleted Testfiles,Algorithm_FAST-CS_Total Failed To Detect Deleted Testfiles,Algorithm_FAST-CS_Detected Testfiles Line No,Algorithm_FAST-CS_Detected Testfiles,Algorithm_FAST-CS_Failed Detected Testfiles,Algorithm_FAST-CS_False Detected Testfiles Line No,Algorithm_FAST-CS_False Detected Testfiles,Algorithm_FAST-CS_Total Detected Deleted And Obsolete Tests,Algorithm_FAST-CS_Total Detected Deleted And Redundant Tests,Algorithm_FAST-CS_Max_repetition,Algorithm_FAST-CS_Total execution time,Algorithm_FAST-CS_Total preparation time,Algorithm_FAST-CS_Optimal execution time,Algorithm_FAST-CS_Optimal preparation time,Algorithm_FAST-pw_Total Detected Deleted Testfiles,Algorithm_FAST-pw_Total Failed To Detect Deleted Testfiles,Algorithm_FAST-pw_Detected Testfiles Line No,Algorithm_FAST-pw_Detected Testfiles,Algorithm_FAST-pw_Failed Detected Testfiles,Algorithm_FAST-pw_False Detected Testfiles Line No,Algorithm_FAST-pw_False Detected Testfiles,Algorithm_FAST-pw_Total Detected Deleted And Obsolete Tests,Algorithm_FAST-pw_Total Detected Deleted And Redundant Tests,Algorithm_FAST-pw_Max_repetition,Algorithm_FAST-pw_Total execution time,Algorithm_FAST-pw_Total preparation time,Algorithm_FAST-pw_Optimal execution time,Algorithm_FAST-pw_Optimal preparation time
d8ae0bdbefd1df0dda95f3402c323ca93962d16e,87,1,['src/test/org/apache/commons/lang/IncompleteArgumentExceptionTest.java'],86,98,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0
687dc10a611d3ded6239baa2b8ebdff7ebfb9871,88,1,['src/test/org/apache/commons/lang/NullArgumentExceptionTest.java'],87,98,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0
e329c3556ce0b4a87568f3783adc193719670560,53,4,"['src/test/org/apache/commons/lang/functor/TestPredicateUtils.java', 'src/test/org/apache/commons/lang/functor/TestExecutorUtils.java', 'src/test/org/apache/commons/lang/functor/TestTransformerUtils.java', 'src/test/org/apache/commons/lang/functor/TestFactoryUtils.java']",49,92,0,4,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,4,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,4,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,4,[],[],[],[],[],0,0,0,0.0,0.0,0,0
f62839527b087d0f6c3aa74c86cca9bd492fb64b,94,1,['src/test/org/apache/commons/lang/NumberRangeTest.java'],93,98,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0
452a6c0cd87ed01dc6f60ab65578c6353c0d0522,93,7,"['src/test/org/apache/commons/lang/math/FloatRangeTest.java', 'src/test/org/apache/commons/lang/math/DoubleRangeTest.java', 'src/test/org/apache/commons/lang/math/AbstractRangeTest.java', 'src/test/org/apache/commons/lang/math/NumberRangeTest.java', 'src/test/org/apache/commons/lang/math/IntRangeTest.java', 'src/test/org/apache/commons/lang/math/LongRangeTest.java', 'src/test/org/apache/commons/lang/math/RangeTest.java']",86,92,0,7,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,7,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,7,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,7,[],[],[],[],[],0,0,0,0.0,0.0,0,0
b75b09afe0be9fd009b1290b5ce75dcf1144b226,57,1,['src/test/org/apache/commons/lang/WordWrapUtilsTest.java'],56,98,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0
8a57de11eec842e392f7709eb56f202084998a40,85,1,['src/test/org/apache/commons/lang/IntHashMapTest.java'],84,98,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0
cba79c706bdb523861fd3a07a63fc9fef0b631ce,95,1,['src/test/org/apache/commons/lang/NumberUtilsTest.java'],94,98,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0
db951873904b927b43f35478586f064ea6ea6deb,88,1,['src/test/org/apache/commons/lang/text/VariableFormatterTest.java'],87,98,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0
056742acf7fa9de76993c24d0eb0fa84b99dbbdd,96,1,['src/test/java/org/apache/commons/lang3/event/AbstractEventSupportTest.java'],95,98,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0
